Week,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Miles
1,3 mi run + strength,3 mi run,30 min tempo run,3 mi run + strength,Rest,60 min cross,4 mi run,16
2,3 mi run + strength,3.5 mi run,6 x 400 5K pce,4 mi run + strength,Rest,60 min cross,5 mi run,20
3,3 mi run + strength,4 mi run,35 min tempo run,3 mi run + strength,Rest,60 min cross,3 mi run,17
4,3 mi run + strength,4.5 mi run,7 x 400 5K pace,4 mi run + strength,Rest,60 min cross,5 mi run,22
5,3 mi run + strength,5.0 mi run,40 min tempo run,3 mi run + strength,Rest,60 min cross,6 mi run,23
6,3 mi run + strength,5.5 mi run,8 x 400 5K pace,4 mi run + strength,Rest,60 min cross,4 mi run,22
7,3 mi run + strength,6 mi run,45 min tempo run,3 mi run + strength,Rest,60 min cross,7 mi run,25
8,3 mi run + strength,3 mi run,4 x 400 5K pace,1-3 mi run,Rest,Rest or 60 min cross,8K Race,17
