Week,Mon,Tue,Wed,Thu,Fri,Sat,Sun
1,Rest,3 mi run,5 x 400,3 mi run,Rest,3 mi run,5 mi run
2,Rest,3 mi run,30 min tempo,3 mi run,Rest,3 mi fast,5 mi run
3,Rest,3 mi run,6 x 400,3 mi run,Rest,4 mi run,6 mi run
4,Rest,3 mi run,35 min tempo,3 mi run,Rest,Rest,5K Test
5,Rest,3 mi run,7 x 400,3 mi run,Rest,4 mi fast,6 mi run
6,Rest,3 mi run,40 min tempo,3 mi run,Rest,5 mi run,7 mi run
7,Rest,3 mi run,8 x 400,3 mi run,Rest,5 mi fast,7 mi run
8,Rest,3 mi run,30 min tempo,2 mi run,Rest,Rest,5K Race
